Location    Name
eastus2     javlinltd1579185328273
eastus2     jedox
eastus2     jelastic
eastus2     jetnexus
eastus2     jetware-srl
eastus2     jfrog
eastus2     jm-technology-inc
eastus2     jogetinc
eastus2     juniper-networks
eastus2     kaazing
eastus2     kadenallc
eastus2     kali-linux
eastus2     kalkitech
eastus2     Kaspersky.Lab
eastus2     KasperskyLab.SecurityAgent
eastus2     kaspersky_lab
eastus2     kazendi
eastus2     kelverion
eastus2     kemptech
eastus2     kepion
eastus2     kinetica
eastus2     knime
eastus2     kobalt
eastus2     konsys-ltd
eastus2     kryonsystems
eastus2     krypc-technologies-pvt-ltd
eastus2     lancom-systems
eastus2     lansa
eastus2     lastline
eastus2     leap-orbit
eastus2     leostream-corporation
eastus2     lepide-software
eastus2     libraesva
eastus2     liebsoft
eastus2     liquid-files
eastus2     liquidware
eastus2     literatu
eastus2     litespeed_technologies
eastus2     litionenergiegmbh1580128829115
eastus2     loadbalancer
eastus2     logsign
eastus2     logtrust
eastus2     looker
eastus2     lti-lt-infotech
eastus2     luminate-security
eastus2     machinesense
eastus2     maidenhead-bridge
eastus2     manageengine
eastus2     mapd
eastus2     mapr-technologies
eastus2     marketplace-rdfe-caps
eastus2     marklogic
eastus2     massiveanalytic-
eastus2     mathworks-deployment
eastus2     mathworks-inc
eastus2     matillion
eastus2     mavinglobal
eastus2     McAfee.EndpointSecurity
eastus2     McAfee.EndpointSecurity.test3
eastus2     meanio
eastus2     media3-technologies-llc
eastus2     mendix
eastus2     messagesolution
eastus2     mettainnovations-4900054
eastus2     mfe_azure
eastus2     mfiles
eastus2     mico
eastus2     micro-focus
eastus2     microlinkpcukltd
eastus2     microolap
eastus2     microsoft-ads
eastus2     microsoft-aks
eastus2     microsoft-avere
eastus2     microsoft-azure-batch
eastus2     microsoft-azure-compute
eastus2     microsoft-crypto
eastus2     microsoft-dsvm
eastus2     microsoft-hyperv
eastus2     Microsoft.AKS
